Title,Author Line,Id,PublishDate,AuthorIds,PageCount,Genres
"How to Beat Minecraft","DoubleTimeDesire",9073,05/04/2022,,6,"Games"
"The History Of Roblox.","DoubleTimeDesire",8609,1/30/2021,,10,"Roblox History"
"The Sweet Journey: A Comprehensive History of Chocolate","DoubleTimeDesire",11750,03/31/2023,,6,"History"
"The Truth about 1x1x1x1.","DoubleTimeDesire",8353,12/25/20,,6,"Mystery, Roblox Legends"
"Weirdest ROBLOX Usernames.","DoubleTimeDesire",8605,12/30/20,,7,"Roblox Learn, Roblox People"
"What are the Backrooms?","DoubleTimeDesire",8280,05/04/2022,,8,"Horror"
"Runner","doubttful",11584,12/30/16,,7,"Fiction"
"The Rise and Fall of Roblox Restaurant Roleplaying Groups","doubttful",10528,12/4/20,130754940,7,"Roblox Games"
"The Importance of Tone Indicators: Overcoming the Vocal Barrier","doubttful (author)",11092,11/30/20,,6,"Relationships"
"SCP Foundation","Dr. ████",8724,11/25/2017,,9,"Science Fiction"
"SCP Foundation","Dr. Plague",9821,6/2/2020,,8,"Roblox Groups, Science Fiction"
"The Nature of War","DraconianAce17",11288,5/28/2020,,7,"Fiction"
"Preparing a Speech for Oratory","drag32",9055,05/14/2022,,5,"Life Learn"
"The Place Where Things Happen","dragonlover24",10243,8/6/2016,,5,"Fantasy"
"The Life Of A Hatchling","dragonscla",11722,09/14/2022,,7,"Fantasy"
"All About Atoms: Volume 1","DragonW2468",11313,12/02/20,,10,"Science"
"All About Atoms: Volume 1","DragonW2468 (author)",8546,12/02/20,,10,"Science"
"Ember: Prologue","dragonyzee",10648,7/21/2016,,5,"Fiction, Adventure"
"Mr.FluffleWaffles Book 1.","dragonyzee",9756,12/29/2016,,6,"Children's"
"The Darkfall Chronicles","drain_fiend",8431,6/10/2017,,4,"Roblox Groups"
"Patient Zero: 01","Draxx",11046,6/19/2017,,6,"Fan Fiction"
"The Last Mage Apprentice","Drcoolmozart",11379,7/5/2018,,7,"Fantasy"
"Basic French","DRDOGEYO",11358,6/10/21,,9,"Languages"
"Rosaria #1","Dr_DRAG00N",8316,06/14/2022,1824727809,8,"Romance"
"The Life Of an Introvert","Dr_DRAG00N",8867,07/18/2021,,4,"Life Learn"
"A War Of Daggers And Gats","Dreadlockx10",9822,7/19/2016,,7,"Short Story, Roblox Fiction"
"Understanding the LGBT Community","Dreadlockx10",11068,01/14/2017,,3,"Life Learn"
"A Galaxy Hero","DrEnshine",10639,06/06/2020,,4,"Science Fiction"
"Family Heirloom","DrEnshine",11645,11/03/2020,,4,"Horror"
"The Assassin Girl","DrEnshine",10040,6/23/2020,,4,"Adventure"
"The last stand","DrEnshine",10049,01/19/2021,,4,"Fan Fiction"
"The story of John Doe","DriftPersonalLivesOn",10099,4/13/2020,,7,"Roblox History, Facts"
"The Jesus Movement","Dr_RalphT",9314,05/24/2022,,6,"Religion"
"Why do you need the Holy Spirit?","Dr_RalphT",11624,05/25/2022,,6,"Religion"
"The Case Of Wali Berenson","Dr_T0MAT0",10300,4/13/2020,,19,"Horror"
"A Student's Guide to Middle School","drxgoncxke",8439,3/30/2020,,5,"Life Learn"
"An Unusual Visitor","Dualimity",11258,3/17/2020,,5,"Roblox Fiction, Fiction, Adventure"
"Book of Poems","Dualimity",10534,1/17/2020,,29,"Poetry"
"The Fun Place","Dualimity",10202,4/2/2020,,9,"Fantasy"
"The Seven Hours War","dudekid00",11362,2/16/2020,,13,"Fiction"
"Darth's: The Art of The Deal","dwhooley",8954,3/19/2020,,8,"Roblox History, Roblox Economy"
"Mercies of war","Dwighteisenhower4",9358,11/11/2020,,7,"Short Story, Action"
"Blue and Green.","dxlfa",8667,2/7/2022,,4,"Poetry"
"The Lady In White: Uncovering the Truth Behind a Cursed Parisian Alleyway","dydylol28",12027,06/06/2023,,7,"Fiction, Horror"
"Everyone Run.","e1ysbunny",12078,10/29/2023,,17,"Horror"
"Pirates of the Milky Way","eaglehamster23 / ClanStorm",10516,9/9/2017,,8,"Science Fiction"
"The day I was almost banned","Earnedlt",9113,6/29/2017,,5,"Roblox People"
"Colors of Dawn","EasilyTypical",10730,8/11/2017,,4,"Short Story"
"The Airbus A300","EAVAOfficial",8947,07/27/2022,,8,"Travel"
"A Fellow Player's Story","eban66234",10177,6/6/2019,,6,"Roblox People"
"Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo","echocentrical",10050,05/30/2020,,6,"Fiction"
"2020 Collaborative Writing Project: Rewind (Book 3)","echocentrical, Anonymous, bookworm0023, Official_Frogii, and Seventh0beron",8987,12/25/20,,21,"Library Archives"
"Proto-dimensional","Eclipciv",11133,04/22/2020,,11,"Science Fiction"
"Forsaken One Arc 1: Part 1","EclipDDia",9914,4/5/2020,,4,"Horror, Fiction"
"A Christmas Horror (pt. 1)","Eclipsite",10126,12/6/2016,,5,"Horror"
"Lonely Chirp (1)","Eclipsite",8763,7/13/2016,,4,"Romance"
"The Art of Debating","Ectalical",12196,3/3/2024,,8,"Life Learn"
"An Introduction to Puella Magi Madoka Magica","eddsworldftw11",10221,5/25/2018,,10,"Media"
"Lumber Tycoon 2","EeriePumpkin262",10771,11/01/2016,,3,"Roblox Games"
"TownCRTR: Rise and Fall","egamer3000",10055,2/1/21,,4,"Games"
"ROBLOX Studio - Tips and Tricks","egejaden044",8289,02/16/2020,,3,"Roblox Development"
"Energy of Atom: How it Works","Egor4ikBroAboba",9053,05/02/2022,,7,"Science"
"My experience and how to survive on rob lox clan/rp groups","egoricolol",12209,3/7/2024,,8,"Roblox Groups"
"Theory of Death","ehpl",8510,11/19/2016,,3,"Philosophy"
"Life as a short person Vol. 1","eIeeanor",8748,2/29/2020,,9,"Fiction"
"Life as a short person Vol. 2","eIeeanor",8149,2/29/2020,,6,"Fiction"
"ASL for Beginners","Eight_Ates",12072,10/7/2023,,13,"Languages"
"The Thirst In Your Mind","Eissy",10321,1/29/2020,,4,"Poetry"
"Entity-101","ekcja",8539,4/2/2020,,16,"Science Fiction"
"The Last Thylacine","electricnightmare302",9900,7/6/2020,,4,"Roblox Fiction, Fiction"
"Classic ROBLOX Games","ELEMXNTXL",10256,6/26/2018,,5,"Roblox History"
"Why is school important?","elena1027",9264,6/6/2020,,4,"Life Learn"
"1-D Kinematics","ElEpicNoobPwner",8421,5/11/2019,,8,"Science"
"Advanced Grammar Mistakes that You Don't Realise","elexin",11076,5/27/2018,,4,"Life Learn, Roblox Learn"
"The Hiking Trip: Where is Kenzie?","elgordo1415",8566,10/03/2021,,7,"Horror"
"The Roblox Bible (NBV): Genesis 1","ElijahPepe",10034,10/28/2017,,6,"Roblox Fiction"
"Groups and Betrayal","Elita_Tyr",8552,9/15/2016,,3,"Poetry"
"Red, Crimson, Brick, Scarlet- A Color Poem","EliteKeitharino",11641,2/24/2019,,3,"Poetry"
"The History of Manga","EliteKeitharino",10036,06/16/2020,,5,"History"
"Alpha Origins #1","Elizwill",8931,8/2/2016,,7,"Fiction"
"The Creeper","Eljatix",9324,7/6/2020,,4,"Horror"
"Campfire","EllaBooks",8997,7/12/2018,,10,"Horror"
"The Tribes - Chapter 1: The Announcement","EllaBooks",8455,3/24/2018,,11,"Fiction, Action"
"The Tribes - Chapter 2: The Capture","EllaBooks",10346,3/24/2018,,8,"Fiction, Action"
"The Tribes - Chapter 3: The Camp","EllaBooks",10788,3/24/2018,,10,"Fiction, Action"
"The Tribes - Chapter 4: The Escape","EllaBooks",9094,3/24/2018,,9,"Fiction, Action"
"1,000 digits of pi!","elladake",9587,07/31/2021,,4,"Mathematics"
"How to stop caring what other people think of you","elladake",9678,08/08/2021,,6,"Life Learn"
"In the City You Don't See the Stars","elladake",11582,6/14/2022,,7,"Short Story"
"Infinity","elladake",10615,07/01/2021,,5,"Poetry"
"Introduction to Philosophy","elladake",9978,07/05/2021,,13,"Philosophy"
"Ladybugs, Gardens, and Love.","elladake",8774,07/31/2021,,9,"Romance"
"What does it mean to be a good person?","elladake",11657,07/05/2021,,7,"Philosophy"
"Let 'Em Pounds Go!","ElliottYandem",8893,5/21/2020,,4,"Health"
"Mr Blue","EloBlu",8444,7/11/2018,,9,"Fiction, Children's, Action"
"Stock Market 101","elqzn",11039,7/11/2019,,6,"Economics & Money, Miscellaneous"
"The History of Roblox Doors","EmeraldPyxl",11751,03/31/2023,,5,"Roblox History"
"Friends","EmeraldSgirl",8861,3/25/2020,,11,"Romance"
"Brief History of Blox Cards","emergencydiscreetalt",9602,07/30/2021,,6,"Roblox Games"
"Miner's Haven: The Legacy Vol. 1","emergencydiscreetalt",10292,5/23/2020,,5,"Roblox Learn, Roblox Games"
"Forbidden: The House Across The Street","Emerraldcat",8251,4/9/2019,,5,"Horror"
"Forbidden: The Underwater Cave","Emerraldcat",8906,8/10/2020,,19,"Horror"
"So You're Hungry And Want to Make Ramen?","Emerraldcat",10495,6/26/2020,,6,"Foods"
"8 Types of People in Roblox Reactor Core Games","emr45han",9144,05/19/2021,,5,"Roblox People"
"A Totally Genuine Guide to Get Rich Quick","Emyxical",9850,5/17/2020,,8,"Comedy"
"Early ROBLOX Creation Mythology","Encladeus",11208,8/14/2016,,11,"Roblox Legends"
"The War of The Gold and Silver","EnderDefenderav",11391,4/4/2020,,31,"Fantasy"
"Grammar Lessons","Endermagic28",10335,4/6/2017,,5,"Fiction"
"Information & History of the ROBLOX Guests","EnderMertPlayer2",8221,6/3/2019,,14,"Roblox History"
"A Young Officer Amidst Gallipoli","EndurableArda23",11241,4/23/2020,,13,"Historical Fiction"
"Heroism: The Trilogy and The Lore","EndurableArda23",8532,2/17/2020,,12,"Fantasy"
"Noob: Why do we call people that?","EndurableArda23",8504,3/15/2020,,5,"Roblox Learn"
"They","EndurableArda23",10799,4/13/2020,,4,"Poetry"
"The Medical Book","EnforcementBeyond",8272,7/18/2016,,4,"Health"
"Riddles","Enigma314",10325,10/3/2017,,4,"Comedy"
"Veil of Midnight","eniigmatic",12124,10/29/2023,,6,"Horror"
"Knock Knock","eovials",11131,03/03/21,,5,"Horror"
"The Lone Tree","EpicLOL817",326,4/6/2020,,4,"Poetry"
"The World Of Scat","EpicNerd5678, LostSouth, LostNorth99, and AE_FIRE (listed as LostArt)",8408,5/22/2020,,10,"Short Story, Miscellaneous"
"21 Weird Fears and their Names","epicpeachtime",10089,5/28/2018,,4,"Facts"
"Berry Productions Cancellation","epicpeachtime",8495,5/27/2018,,3,"Roblox Groups"
"He's with Me","EPICSUPERSAYIAN7",9688,12/30/20,,7,"Poetry"
"A Noob's Guide to the Forums","epikkyle2",10206,4/22/2019,,5,"Roblox History"
"Battle of English","Epilepson",10023,9/14/2019,,12,"History"
"Bilinguals","Epilepson",9766,7/18/2019,,16,"Fiction"
"Cubing Chronicles: The Legend","Epilepson",11152,2/16/2020,,8,"People"
"Disease","Epilepson",9729,7/27/2019,,39,"Fiction, Adventure"
"History of Instant Noodles","Epilepson",8971,5/19/2019,,7,"History, Facts"
"The Rubik's Cube","Epilepson",11359,7/24/2019,,15,"Facts"
"What's a Natural Diet?","Epiura",9481,10/20/2020,,6,"Health"
"Beach","eraoumin",8524,3/25/2020,,6,"Comics"
"The Story of Perseus","Erox_Co",10231,6/28/2020,,4,"Mythology"
"Legend of the Creation of Nature and Lifestyle","EscLoneRanger",9965,6/4/2020,,4,"Mythology"
"School Buzz","EscLoneRanger",5091,10/01/2022,,4,"Poetry"
"The Story Of iiExploitex","Esploitex",9721,11/30/2016,,5,"Roblox People"
"D00MWatcher: Escape From Hell; Chapter 1","eSports_BoSSK1ll4r",11745,01/29/2023,,8,"Fiction"
"10 Most Known Dinosaurs","este7le",11120,6/24/2019,,5,"Animals"
"Timmy and the Watch (1)","Etcheminn",11332,5/5/2019,,4,"Science Fiction"
"Sanctus Historia I : Prussia","EternalAtavist",11703,7/7/2018,,8,"History"
"Sword Fighting 101","EternalAtavist",11361,12/29/2019,,7,"Roblox Games, Miscellaneous, Roblox Learn"
"The Planks That Held Me","EternalWaters",8808,5/31/2018,,4,"Roblox Fiction, Short Story"
"Eternity's Zombie Survival Book","Eternityhero101105",8398,3/27/2020,,15,"Life Learn"
"My Night at Freddy's","Ethanlovir",9214,04/17/2021,,5,"Horror"
"My Pocket Universe","Ethanlovir",9579,6/10/21,,5,"Fiction"
"The Backrooms Part 1","Ethanlovir",10839,05/17/2022,,10,"Horror, Fiction"
"The Life of ROBLOX 2015","Ethanlovir",10249,5/22/2020,,5,"Roblox History"
"I saw a jolly hunter","ethanmorgan02",11395,03/12/2020,,4,"Poetry"
"The Teddies That Came Alive","ethanmorgan02",8410,02/19/2020,,5,"Fiction"
"Best Gears","Ethanslim",11119,9/20/2016,,3,"Roblox Learn"
"how to make toast","ethantadlock (author)",10355,11/30/20,,4,"Foods"
"The Misadventures of Larry the Llama","ettttttttteeeee",12289,5/27/2024,,6,"Comedy"
"Solitude","Euclideen",10250,04/17/2021,,3,"Poetry"
"Communication/Social Disorder","evadachi",11578,4/9/2020,,4,"Life Learn, Psychology"
"Army Basic Guide Part I: MEPS and Reception","EvadingBansLikeTaxes",9875,10/20/2020,,5,"Life Learn"
"The Lumen Manifesto","Evalleon",10666,11/22/2016,,5,"Roblox Groups"
"System Stranger","everceleste",10227,5/31/2018,,5,"Horror"
"Not Enough Time","EverFading",10334,11/17/2018,,5,"Fiction"
"Not Enough Time; Chapter 2","EverFading",9549,12/15/2018,,8,"Fiction"
"Not Enough Time; Chapter 3","EverFading",9543,12/15/2018,,6,"Fiction"
"Normal","EveryoneHatesWorking",10536,3/19/2020,,8,"Fiction"
"Him Dimension","EvilThinking",8313,3/7/2020,,4,"Horror"
"Guide to the art of reselling","EWisawesome",10136,05/01/2021,,8,"Economics & Money"
"Understanding Asperger's syndrome","EWisawesome",8545,05/01/2021,,7,"Psychology"
"Arguments and how to handle them.","Execed",11314,2/19/2020,,5,"Life Learn"
"Finding CookieCat9200","Exianis",8925,08/15/2022,,4,"Poetry"
"'Active Core' Theory","Exocamp",9232,5/5/2019,,7,"Roblox Clans"
"How to Gunfight","Exocamp",8710,2/13/2016,,8,"Roblox Clans"
"Outside","Exotic",10564,2/5/2018,,5,"Short Story"
"The History of Realistic Basketball on Roblox","Exotic_Slaya",10006,12/24/20,,4,"Roblox Games"
"A Bizarre Day Beginners Guide Vol.1","Expert_Skydiving",10496,4/9/2020,,4,"Roblox Games"
"EVENT HORIZON","Explanation2Die",11712,1/31/2021,,7,"Astronomy"
"Off The Sandbar","Explanation2Die",12114,04/09/2023,,11,"Historical Fiction"
"Cold","ExplodingJellyfish",10976,4/25/2019,,6,"Horror"
"Bloxwood: The Story of an Amusement Park","ExploitedTime and deadzonepro998",10922,05/26/2018,,10,"Roblox Clans"
"Diary on Attrition","ExplosiveCatness",9613,9/15/2019,,12,"Historical Fiction"
"Learn Russian With Me!","exwik",9041,02/21/2022,,7,"Languages"
"'Adore Me' Part 1","ezookker",10172,11/24/2021,,15,"Romance"
"The Enemy","ezookker",10057,12/22/2021,,4,"Fan Fiction"
"The History of Malta","ezookker",8474,1/13/2022,,20,"History"
"The Piece","ezookker",9969,05/03/2022,,6,"Short Story"
"Ro-Racing","ezragsss",10706,4/5/2019,,6,"Roblox Learn, Sports, Roblox Games"
"The End of Pokemon Brick Bronze Vol 1","fabianski987",10596,06/08/2021,,4,"Roblox History"
"Tyrmskvida","FaboGrenouille",9419,7/1/2017,,10,"Mythology, Poetry"
"Dorshmire","factorimpulsion2",8881,4/2/2020,,3,"Fantasy"
"Enchantment of the Forest","factorimpulsion2",9961,4/2/2020,,3,"Poetry"
"Replenished Life","factorimpulsion2",11370,4/2/2020,,4,"Fantasy"
"The Guilded Eye","factorimpulsion2",11266,4/2/2020,,4,"Fantasy"
"The Town of Alverton","factorimpulsion2",9591,4/2/2020,,4,"Fantasy"
"How To Play ROBLOX","fahim3001",8825,9/25/2016,,4,"Roblox Learn"
"No Soul Flamingo","fakeforsure",11341,01/19/2021,,4,"Fan Fiction"
"The Day The Grinch Stole More Than My Presents","fakeforsure",11060,1/20/2021,,10,"Fantasy"
"MLS","FanaticalG4mes_God",10679,9/24/20,,10,"Sports"
"TOP 5 Best old school Roblox games","FanaticalG4mes_God",9259,05/21/2020,,9,"Roblox Games, Miscellaneous"
"The worst April Fools prank ever","FanaticalG4mes_God",11105,03/29/2020,,5,"Comedy"
"Rats United","FancyBritishRat",9895,09/06/2021,,6,"Roblox Groups"
"Perseus and the Scorpio-man, 'Esco'","FantailedPoem_94",8306,5/27/2018,,4,"Mythology"
"Information on a secret door!","FantasyCoder",9760,6/20/2020,,3,"Secret"
"How To Get Your Game Famous","FastandFunniest",8380,6/27/2019,,5,"Roblox Development"
"Winter Journey VOL I","FASTasLIGHTNING7",10195,07/27/2022,,7,"Fantasy"
"Basic Info About Dragons","FastTopplehat",10601,1/31/21,,8,"Mythology"
"Kekemanboiee123: A Life","fatpersonrocks",9066,07/07/2020,,4,"Roblox People"
"The NCNC, Destroyer Of Worlds","fatpersonrocks",9898,7/6/2020,,4,"Roblox Fiction, Fiction"
"The Cow That Never Moo'd","Fearfulhades",9152,7/19/21,,3,"Poetry"
"Scams","Fearie7",11454,10/28/2016,,3,"Conduct"
"The scariest Halloween ever!","feemagique1234",9510,10/28/2020,,5,"Horror"
"The Curse of The Sharp Knife","Felix Romeo",10981,8/11/2017,,5,"Horror"
"America's 1984","felix3696",9912,05/30/2020,,5,"Critiques"
"The hospital","felixgisse",9788,09/06/2021,,9,"Horror"
"Legend Interview With OfficialDev","FESFEWTheKingGo (BLOX GC Community)",8305,06/04/2020,,4,"Roblox Legends, Roblox People"
"Deserted","FestiveFin12",10482,4/13/2020,,7,"Roblox Fiction, Fiction, Adventure"
"The Church","FestiveFin12",8441,6/13/2020,,6,"Fiction"
"13 Weird Coincidences","Feyros",10169,5/13/2019,,8,"Facts"
"What is a Weeaboo","Feyros",10597,5/30/2020,,4,"Culture"
"Your Travel Guide to Tokyo","Feyros",9265,04/05/2020,,7,"Travel"
"The Heist Tips","F_iction",10045,7/16/2016,,4,"Roblox Games"
"The Legend of 6 Heroes (2)","FinalizeNoise",8143,6/2/2020,,5,"Fan Fiction"
"The Legend of 6 Heroes (3)","FinalizeNoise",9692,4/6/2020,,5,"Fan Fiction"
"The Legend of the 6 Heroes: Trilogy of Vargas Vol. 1","FinalizeNoise",9313,4/6/2020,,4,"Fan Fiction"
"Fursuit Head Making 101","f_inkk",10452,02/21/2022,,9,"Life Learn"
"The Korblox Kingdom","firebreath266",8270,1/25/2020,,4,"Roblox Groups"
"A Not-So Typical Life as a Flygon","firebudgy",10376,6/24/2018,,12,"Fan Fiction"
"Roblox Stories: Group Inactivity and March 18th","firebudgy",10438,6/30/2017,,6,"Roblox History"
"How to Create Your Very Own Clothing","FireFriggus",8342,4/6/2017,,8,"Roblox Learn"
"4 Overcomplicated Recipes for the Hungry Pantry-Dweller","fireisveryhot1",10568,09/10/2022,,7,"Foods"
"Plato's Republic: The Error of Socrates' Noble Lie","Firemaster334",9269,2/20/2020,,6,"History"
"The Sun","firyViv9",9261,4/25/2019,,4,"Astronomy"
"How to make a Roblox Myth","FiShB0nEsOnYErPlAtE",10589,06/09/2021,,4,"Roblox Legends"
"Where All the Money You Spend on Roblox Goes","FishEye18",9957,6/20/2020,,5,"Roblox Economy"
"Fish Land Adventures: Book 1, The History Of Fish Land","FishGirlyGaming",9897,05/04/2021,,30,"Fantasy"
"To wish to see","fishowlevz",5088,11/17/2022,,3,"Poetry"
"Ty-con","Fisichella",11180,2/3/2017,,7,"Roblox Learn"
"Jack Lanes, Felony Now.","Fla7742",10101,07/04/2021,,7,"Mystery"
"The Steam Blimp","Fla7742",10449,06/21/2021,,7,"Adventure"
"President Ford's Buttermilk Pancakes","Flabblegast",9994,05/31/2020,,4,"Foods"
"The War Between the Pigs and Cows","Flamindy",10070,3/26/2020,,4,"Children's"
"General tips and tricks for new players (Volume 1)","Flaminglips123",10353,11/26/2018,,4,"Roblox Learn"
"What was Beesmas?","flamingwhy",9686,09/06/2020,,10,"Roblox History"
"Exploring the SCP Foundation Vol. 1","flankmekid",9032,5/21/2020,,5,"Fan Fiction, Science Fiction"
"The Tools used by Hackers","flankmekid",8531,10/22/2020,,12,"Facts"
"The noobs guide to sword fighting","flankmekid",9705,7/13/2020,,7,"Roblox Games, Miscellaneous"
"What Exploiters can do to games and how to avoid them","flankmekid",11597,07/23/2020,,7,"Roblox Learn"
"Lua For Dummies (flavoured_lemon edition)","flavoured_lemon",10683,9/9/2018,,5,"Roblox Lua, Miscellaneous"
"How To Be a Developer","flavouredpurple",10924,6/20/2020,,3,"Roblox Learn, Comedy, Miscellaneous"
"All About Ducks","flourishful",5460,11/18/2022,,6,"Animals"
"Guest 666","Flowercatlovra3024",8196,1/29/2020,,4,"Fiction, Roblox Legends"
"Isolated","FloydUnity",10637,09/19/2020,,6,"Science Fiction"
"Migraine","Flua",9379,11/04/2020,,8,"Health"
"In Time","fluffykitty0916",11032,4/9/2020,,12,"Fiction"
"Blame","Flurrying",9105,10/15/2018,,4,"Poetry"
"What Would Become of Me?","Flurrying",8363,6/4/2018,,4,"Poetry"
"Last nights storm was weird...","Flutemoot1",9992,2/14/2020,,10,"Horror"
"The Lady (A backstory)","fluttergal123",8452,12/31/2016,,12,"Horror"
"The Switch (A roblox story for girls mostly)","fluttergal123",9148,12/30/2016,,6,"Roblox Fiction"
"Her Poem","flyingeagle201033",9522,01/24/2021,1037547380,3,"Poetry"
"Events in roblox 2007","fnac9000",11638,1/31/21,,18,"Roblox History"
"A' Bippity Boppity Boo","fofighter32",9082,04/09/2022,,3,"Poetry"
"Topics in Philosophy: Free Will","ForeverAlonezey",11548,2/4/2020,,5,"Philosophy"
"Roblox Shutting Down Alot","Forget",10152,5/21/2020,,3,"Miscellaneous"
"How to start learning Lua","ForgiveIBeg",8650,1/29/2020,,5,"Roblox Lua"
"How To Make Money Fast In Electric State DarkRP","Forgot",9213,05/17/2020,,5,"Roblox Games"
"Was Flamingo Always Kid Friendly?","Forgot",9933,05/14/2020,,3,"Media"
"H.P. Lovecraft Writing Guide","Formidable_Beast",11586,1/15/2017,,6,"Fiction"
"Knowledge","ForsakenGladiator",10813,1/20/2020,,3,"Poetry"
"If Roblox Removed Robux","foundershipping",11637,7/17/2019,,6,"Roblox Fiction"
"Ember: Book 1- The Beginning","FoxDragonCutie",8749,10/29/2016,,7,"Fiction"
"Battery : The Loneliness Expands","Franxerk",9937,06/02/2021,,8,"Mystery"
"The Geo-Domination","Franxerk",8750,06/01/2021,,9,"Science Fiction"
"The Book of Tactics","FranzGustavX",10622,6/4/2020,,5,"Roblox Clans"
"BOAT","FredGoneFazey",10406,6/5/2020,,17,"Comedy"
"The Attack of The Rats","FredGoneFazey",9608,3/30/2020,,6,"Fiction"
"Desolate Discoveries","french_baguette1944",8853,09/04/2022,1659973275,5,"Mystery"
"Trees of Time","FrenchToast5113",11088,9/20/20,,4,"Short Story, Poetry"
"Roblox Obby's : A Short History","FRETUJI567",11249,03/13/2021,332079518,9,"Roblox Games"
"Ro-Capitalism and You","friendfinder12",11051,10/01/2020,,6,"Roblox Economy"
"Urban Folklore Vol. 1: Eight Feet Tall","friendfinder12",10405,1/24/2020,,11,"Horror, Mythology, Folklore"
"Karma of the Bad","FrodAwe",8291,04/04/2020,,6,"Roblox Learn"
"The Picayune (Battle of Saffron)","Frolsi",8694,5/23/2020,,7,"Fiction, Fantasy"
"The Verse that will Change your Life","FrostedIceNinja",11619,04/02/2018,,3,"Religion"
"The U.L.O","FrostyBearzxcv",11254,07/31/2021,,5,"Science Fiction"
"Millennial Fervor","ftxsbf and Steve D.",8693,4/5/2020,,4,"Philosophy"
"Funny Book of Everything","Funny Book of Everything",9334,09/6/2017,,5,"Comedy"
"The Sum of All Natural Numbers","Fusion1227",11673,6/20/2020,,9,"Mathematics"
"Futowski","Futowski",8416,12/12/2020,,8,"Library Archives"
"How to Tame your Goblin: Fifth Edition","Futowski",10499,5/3/2020,,11,"Games"
"TLMoP: Goblin Arrows","Futowski",8616,8/17/2020,,62,"Fantasy"
"A Nerd's guide to Roblox's friend system","fvrmation",8333,3/30/2020,,4,"Roblox Learn"
"ode to my pride and joy.","fwairest",9188,03/02/2022,,4,"Poetry"
"Dinosaur Island","Gael00000",11217,4/25/2019,,12,"Fiction, Science Fiction"
"Speaking Ellesmeran Elvish","GageTheWrathful",8338,7/12/2016,,4,"Miscellaneous"
"How to Properly RP","GaIagian",9670,4/13/2020,,6,"Roblox Learn, Miscellaneous"
"Song of Battle","GaIagian",11490,05/21/2021,,6,"Historical Fiction"
"The Tale of the USS Indianapolis","GaIagian",9003,06/16/2020,,5,"History"
"The Lost Duckling and the Rat","GaIagian (author)",11321,11/30/20,,8,"Fiction, Children's"
"But You Didn't","Galaxy_Boy",10883,4/11/2020,,3,"Poetry"
"Secret Admirer","Galaxy_Fox12",10971,2/10/2019,,4,"Horror"
"How to play a Minecraft Java Edition ( for a roblox player )","Galvinyap",12165,04/11/2023,,9,"Games"
"Why People HATE Anime","Galy_tdm",8587,4/26/2019,,5,"Culture"
"Bacon Boy and the Sorcerer's Robux","gamer8486",10410,3/19/2020,,9,"Roblox Fiction"
"Clue","gamerman8106",10407,06/08/2021,,7,"Mystery"
"Secrets Unknown... - PART I","Gamer_Max3333",11744,01/27/2023,,7,"Fiction"
"The World of Mythica - Vol. 1","Gamer_Max3333",10607,08/21/2022,,5,"Fantasy"
"Gaming: A Culture","Gamer_Walnut",11512,5/5/2019,,4,"Culture"
"The Story of Gamesnig","gamesnig",11738,01/28/2023,,10,"Roblox People"
"Missing Dominus","GamingBoy113",9099,5/19/2018,,8,"Roblox Legends"
"Roblox Premium: Myth or Truth?","GamingBoy113",8487,5/11/2019,,5,"Roblox Fiction"
"Egg Hunt: The Greatest Event","gaming_epi",10955,09/22/2020,,5,"Roblox History"
"Batman v1","GarbageCan_Freddy",11431,02/18/2020,,5,"Fiction"
"How To Secure Your ROBLOX Account","GaxeIz",11407,03/10/21,,5,"Roblox Learn"
"Space And Time","GB969",11220,10/14/2016,,3,"Poetry"
"The Anthro Apocalypse: Volume I","g_captain",10789,3/30/2018,,6,"Roblox Games"
"The Anthro Apocalypse: Volume II","g_captain",10382,3/30/2018,,5,"Roblox Games"
"MaxLandia","GDaMan29",12144,09/25/2023,,18,"Fantasy"
"What is a ROBLOX Cafe?","GDmaster33",9487,02/21/2020,,7,"Roblox Learn, Roblox Games"
"Raising Your Cat","GeekyGamerSoul",11644,2/4/2018,,6,"Life Learn"
"A Drawer's Life","gemmong1106",8246,8/6/2020,,8,"Short Story"
"Debunked: The Lost City of Atlantis","GeneralBenadryl",9025,4/2/2020,,5,"Mythology"
"Art of War: ROBLOX","GeneralMickey",9215,5/17/2019,,10,"Roblox Clans"
"The New World","GeneralMickey",11040,5/28/2020,,8,"Historical Fiction"
"The Types of Dere - Part One","Generic_9999",11450,3/31/2020,,13,"Media"
"Fun facts you probably don't care about vol 1","genericsimpleton",8890,08/21/2022,,6,"Comedy"
"Tales after the world went dark","genericsimpleton",11729,01/02/2023,,9,"Short Story"
"The Wild Colonial Boy","Gessicca1",8634,09/06/2021,,5,"Fiction"
"Br_ay: A History","geuest556677567",9901,8/28/2017,,5,"Roblox People"
"POETRY FANANZA","GGGlizard",10827,3/18/2020,,6,"Poetry"
"The Nomenclatures of Straight Chain Alkanes","GgHfLol",11333,8/20/2019,,6,"Science"
"Before i die","Gh0sst_C4t",8373,04/07/21,,4,"Short Story"
"How to not get scammed on ROBLOX.","Ghraster666",10301,10/23/2020,,5,"Life Learn"
"The Demascus Legacy","GianDemascus",9427,08/20/2017,,4,"Roblox Groups"
"Guide to Japanese [1]","giraffemarker",11701,10/7/2018,,11,"Languages"
